"GroupId","ArtifactId","Version","Scope","Modules"
"junit","junit","4.12","test","api | web"
"org.apache.tomcat","tomcat-jasper-el","8.0.1","compile","web"
"javax.servlet","jstl","1.2","compile","web"
"com.opencsv","opencsv","3.9","compile","api | spring-boot-multi-module-maven | web"
"javax","javaee-api","7.0","compile","web"
"org.springframework.boot","spring-boot-starter-data-jpa","1.2.4.RELEASE","compile","api"
"org.springframework.boot","spring-boot-starter-test","1.2.4.RELEASE","test","api | web"
"org.apache.tomcat.embed","tomcat-embed-jasper","8.0.23","provided","api | web"
"org.easymock","easymock","3.4","test","api"
"api","api","1.0-SNAPSHOT","compile","web"
"org.springframework","spring-webmvc","4.1.6.RELEASE","compile","web"
"org.springframework.boot","spring-boot-starter-web","1.2.4.RELEASE","compile","api | web"
"org.hsqldb","hsqldb","2.3.3","compile","api"
